case_uid,status,execution_time_ms,edge_coverage,depth,operators,input_shape,error_message
fuzz_pt_412e38e9,Crash,1.0,2746,5,"BatchNorm2d,MaxPool2d,BatchNorm2d,AvgPool2d,AvgPool2d","[1, 44, 64, 128]",running_mean should contain 44 elements not 38
fuzz_pt_418aa188,Crash,1.0,1677,1,Conv2d,"[4, 44, 256, 64]","Given groups=1, weight of size [34, 5, 1, 1], expected input[4, 44, 256, 64] to have 5 channels, but got 44 channels instead"
fuzz_pt_e067c092,Crash,108.6,5308,5,"ReLU,Linear,ReLU,Conv2d,MaxPool2d","[64, 57, 1024, 128]",mat1 and mat2 shapes cannot be multiplied (3735552x128 and 947x445)
fuzz_pt_91568f49,Crash,74.14,2279,2,"MaxPool2d,Linear","[128, 55, 256, 64]",mat1 and mat2 shapes cannot be multiplied (901120x32 and 908x511)
fuzz_pt_96e02a64,Crash,1.0,5587,6,"MaxPool2d,AvgPool2d,Linear,Linear,AvgPool2d,Linear","[1, 22, 256, 64]",mat1 and mat2 shapes cannot be multiplied (616x7 and 849x543)
fuzz_pt_5111d5d5,Crash,1.0,2691,2,"Flatten,Conv2d","[1, 62, 1024, 1024]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 65011712]"
fuzz_pt_87645fdc,Crash,1.0,1947,1,Conv2d,"[1, 16, 16, 256]","Given groups=1, weight of size [44, 55, 3, 3], expected input[1, 16, 16, 256] to have 55 channels, but got 16 channels instead"
fuzz_pt_326d9079,Crash,1.0,2756,6,"BatchNorm2d,BatchNorm2d,AvgPool2d,AvgPool2d,BatchNorm2d,MaxPool2d","[64, 43, 256, 16]",running_mean should contain 43 elements not 22
fuzz_pt_2f3479cb,Success,2.0,4491,4,"ReLU,MaxPool2d,Flatten,Flatten","[4, 43, 16, 32]",None
fuzz_pt_19281d79,Crash,1.0,894,1,BatchNorm2d,"[16, 2, 1024, 64]",running_mean should contain 2 elements not 28
fuzz_pt_7b947a92,Crash,1.0,1363,2,"BatchNorm2d,BatchNorm2d","[1, 45, 32, 256]",running_mean should contain 45 elements not 37
fuzz_pt_5272fdda,Crash,1.0,3682,5,"MaxPool2d,MaxPool2d,Conv2d,Linear,MaxPool2d","[1, 74]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_5764e1ae,Crash,1.0,3291,5,"ReLU,Flatten,BatchNorm2d,ReLU,BatchNorm2d","[64, 2826]",expected 4D input (got 2D input)
fuzz_pt_b643d98f,Crash,1.0,1085,1,BatchNorm2d,"[64, 29, 256, 256]",running_mean should contain 29 elements not 56
fuzz_pt_587f79b2,Crash,1.0,4107,4,"Linear,BatchNorm2d,AvgPool2d,MaxPool2d","[256, 79]",mat1 and mat2 shapes cannot be multiplied (256x79 and 244x209)
fuzz_pt_465526c8,Crash,1.84,4822,5,"ReLU,BatchNorm2d,Conv2d,ReLU,ReLU","[16, 33, 16, 256]",running_mean should contain 33 elements not 6
fuzz_pt_848964eb,Timeout,2812.56,4776,5,"ReLU,AvgPool2d,ReLU,Flatten,ReLU","[4, 2, 64, 1024]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_5a3fdd48,Crash,1.0,5248,3,"Linear,Conv2d,Conv2d","[16, 19, 32, 32]",mat1 and mat2 shapes cannot be multiplied (9728x32 and 817x725)
fuzz_pt_84db6fc4,Crash,1.0,4251,6,"MaxPool2d,ReLU,Conv2d,ReLU,Conv2d,Flatten","[64, 1078]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_07028934,Crash,1.0,2265,4,"AvgPool2d,AvgPool2d,BatchNorm2d,Linear","[4, 53, 256, 16]",running_mean should contain 53 elements not 48
fuzz_pt_1efea803,Crash,1.0,2576,3,"Conv2d,BatchNorm2d,Flatten","[64, 60, 64, 256]","Given groups=1, weight of size [43, 39, 3, 3], expected input[64, 60, 64, 256] to have 39 channels, but got 60 channels instead"
fuzz_pt_b54f4579,Crash,1.0,2759,3,"Linear,AvgPool2d,Flatten","[64, 1007]",mat1 and mat2 shapes cannot be multiplied (64x1007 and 912x274)
fuzz_pt_1dec563b,Crash,1.0,2941,4,"MaxPool2d,BatchNorm2d,Linear,MaxPool2d","[4, 12, 128, 128]",running_mean should contain 12 elements not 35
fuzz_pt_c44b57c2,Crash,2.9,2935,4,"ReLU,MaxPool2d,ReLU,BatchNorm2d","[64, 10, 256, 16]",running_mean should contain 10 elements not 62
fuzz_pt_376b1c41,Crash,5.54,3716,3,"Linear,Conv2d,Flatten","[128, 64, 256, 256]",mat1 and mat2 shapes cannot be multiplied (2097152x256 and 896x703)
fuzz_pt_4d2b2e9a,Crash,1.0,4457,6,"Linear,AvgPool2d,MaxPool2d,Flatten,ReLU,Flatten","[128, 16, 32, 256]",mat1 and mat2 shapes cannot be multiplied (65536x256 and 81x1018)
fuzz_pt_bd822620,Crash,1.0,6213,6,"Conv2d,Linear,MaxPool2d,MaxPool2d,Conv2d,MaxPool2d","[64, 6, 1024, 32]","Given groups=1, weight of size [59, 12, 1, 1], expected input[64, 6, 1024, 32] to have 12 channels, but got 6 channels instead"
fuzz_pt_72bd517b,Success,1.0,1698,1,AvgPool2d,"[4, 46, 32, 64]",None
fuzz_pt_2e4262c7,Crash,1.0,3663,3,"BatchNorm2d,Linear,Flatten","[64, 1958]",expected 4D input (got 2D input)
fuzz_pt_cceb224e,Crash,3.77,1400,2,"ReLU,BatchNorm2d","[128, 61, 64, 32]",running_mean should contain 61 elements not 23
fuzz_pt_bcd01b18,Success,1.0,1417,1,Flatten,"[1, 29, 16, 64]",None
fuzz_pt_0b6fce1f,Crash,1.0,1296,1,Linear,"[4, 63, 256, 128]",mat1 and mat2 shapes cannot be multiplied (64512x128 and 492x734)
fuzz_pt_cf30e4c2,Crash,1.0,3315,3,"BatchNorm2d,Linear,AvgPool2d","[256, 4071]",expected 4D input (got 2D input)
fuzz_pt_f9a08384,Crash,1.0,3543,2,"Conv2d,MaxPool2d","[128, 27, 1024, 64]","Given groups=1, weight of size [43, 31, 3, 3], expected input[128, 27, 1024, 64] to have 31 channels, but got 27 channels instead"
fuzz_pt_6c2a4448,Timeout,2919.43,2302,2,"ReLU,Flatten","[1, 57, 256, 256]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_a27bda2c,Crash,1.0,2790,2,"Linear,Linear","[16, 3, 16, 16]",mat1 and mat2 shapes cannot be multiplied (768x16 and 957x504)
fuzz_pt_c10f8061,Crash,1.0,4316,4,"AvgPool2d,Linear,Linear,Flatten","[1, 168]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_c54c7589,Crash,1.0,3600,2,"Conv2d,Linear","[4, 6, 256, 64]","Given groups=1, weight of size [25, 37, 3, 3], expected input[4, 6, 256, 64] to have 37 channels, but got 6 channels instead"
fuzz_pt_e8efceab,Crash,1.0,3922,6,"Linear,MaxPool2d,AvgPool2d,Linear,MaxPool2d,AvgPool2d","[16, 8, 32, 1024]",mat1 and mat2 shapes cannot be multiplied (4096x1024 and 513x292)
fuzz_pt_c00ba4f4,Crash,1.0,4760,6,"Linear,Flatten,ReLU,MaxPool2d,AvgPool2d,BatchNorm2d","[64, 18, 128, 128]",mat1 and mat2 shapes cannot be multiplied (147456x128 and 422x1023)
fuzz_pt_af19a498,Crash,1.0,3769,5,"ReLU,Flatten,MaxPool2d,BatchNorm2d,BatchNorm2d","[16, 52, 16, 256]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_8af6861e,Crash,1.0,5270,5,"ReLU,Conv2d,Conv2d,BatchNorm2d,AvgPool2d","[1, 58, 32, 64]","Given groups=1, weight of size [36, 50, 1, 1], expected input[1, 58, 32, 64] to have 50 channels, but got 58 channels instead"
fuzz_pt_af0abf36,Crash,1.0,3825,5,"Linear,Flatten,Flatten,Linear,Linear","[1, 27, 1024, 32]",mat1 and mat2 shapes cannot be multiplied (27648x32 and 508x106)
fuzz_pt_3cb33282,Crash,2.0,4434,6,"AvgPool2d,Linear,AvgPool2d,ReLU,AvgPool2d,BatchNorm2d","[1, 2, 16, 256]",mat1 and mat2 shapes cannot be multiplied (16x128 and 992x140)
fuzz_pt_23aea50f,Success,1.5,2364,2,"AvgPool2d,Flatten","[1, 40, 128, 128]",None
fuzz_pt_d13601c2,Success,2.01,2019,1,AvgPool2d,"[64, 57, 32, 128]",None
fuzz_pt_a2249803,Success,1.0,2001,1,Flatten,"[1, 6, 1024, 64]",None
fuzz_pt_78e1127d,Success,1837.62,1715,1,ReLU,"[64, 2215]",None
fuzz_pt_a623678d,Crash,1.0,2795,2,"Linear,AvgPool2d","[1, 53, 16, 64]",mat1 and mat2 shapes cannot be multiplied (848x64 and 650x554)
fuzz_pt_6768919f,Crash,1.0,3011,4,"MaxPool2d,Conv2d,Conv2d,Linear","[16, 2210]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_75a24242,Crash,7.76,5356,6,"Flatten,ReLU,MaxPool2d,MaxPool2d,Conv2d,Linear","[128, 5, 64, 1024]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_c1609991,Success,1.57,2287,2,"AvgPool2d,Flatten","[64, 11, 64, 128]",None
fuzz_pt_b8471a48,Crash,1.0,3099,3,"Linear,AvgPool2d,MaxPool2d","[1, 19, 256, 16]",mat1 and mat2 shapes cannot be multiplied (4864x16 and 999x196)
fuzz_pt_0f99fcc0,Crash,111.87,4518,5,"MaxPool2d,Linear,AvgPool2d,Flatten,BatchNorm2d","[128, 20, 64, 1024]",mat1 and mat2 shapes cannot be multiplied (81920x512 and 155x456)
fuzz_pt_77617ec6,Crash,1.0,3596,5,"AvgPool2d,Flatten,ReLU,Conv2d,MaxPool2d","[1, 57, 256, 32]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 48450]"
fuzz_pt_37a7e197,Crash,1.0,4514,3,"MaxPool2d,Conv2d,Conv2d","[1, 1267]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_b6d08c17,Crash,44.61,4012,6,"AvgPool2d,ReLU,MaxPool2d,MaxPool2d,BatchNorm2d,Flatten","[64, 43, 128, 256]",running_mean should contain 43 elements not 50
fuzz_pt_78968b41,Crash,1.0,3054,3,"MaxPool2d,Linear,ReLU","[64, 292]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_44adf91f,Crash,1.0,4553,6,"AvgPool2d,AvgPool2d,Linear,AvgPool2d,AvgPool2d,MaxPool2d","[1, 53, 64, 16]",mat1 and mat2 shapes cannot be multiplied (848x4 and 50x785)
fuzz_pt_c6bbd926,Crash,1.06,2742,3,"Linear,AvgPool2d,BatchNorm2d","[256, 1115]",mat1 and mat2 shapes cannot be multiplied (256x1115 and 87x957)
fuzz_pt_56b36dd4,Crash,96.0,3804,5,"MaxPool2d,Flatten,ReLU,Conv2d,AvgPool2d","[64, 22, 1024, 128]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 315084]"
fuzz_pt_a10341fd,Crash,1.0,3913,4,"AvgPool2d,Conv2d,Linear,Flatten","[1, 50000]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_24ac20b9,Crash,1.0,2496,4,"AvgPool2d,Flatten,AvgPool2d,BatchNorm2d","[1, 2877]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_024cce8b,Crash,1.61,1761,1,Linear,"[64, 31, 256, 256]",mat1 and mat2 shapes cannot be multiplied (507904x256 and 748x757)
fuzz_pt_5a838893,Crash,1.0,3427,3,"BatchNorm2d,Conv2d,MaxPool2d","[16, 60, 128, 64]",running_mean should contain 60 elements not 55
fuzz_pt_edd683f6,Crash,1.0,3448,6,"AvgPool2d,Flatten,BatchNorm2d,Conv2d,BatchNorm2d,AvgPool2d","[1, 1561]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_767f1ecb,Crash,1.0,2115,4,"ReLU,BatchNorm2d,ReLU,MaxPool2d","[256, 3057]",expected 4D input (got 2D input)
fuzz_pt_0944a968,Crash,4.6,6672,5,"ReLU,MaxPool2d,Linear,Flatten,Conv2d","[4, 12, 256, 256]",mat1 and mat2 shapes cannot be multiplied (4080x85 and 123x571)
fuzz_pt_28e6ac5c,Crash,489.61,6512,6,"MaxPool2d,Conv2d,Linear,Linear,Conv2d,AvgPool2d","[128, 46, 128, 1024]","Given groups=1, weight of size [41, 5, 5, 5], expected input[128, 46, 42, 341] to have 5 channels, but got 46 channels instead"
fuzz_pt_b601c4b4,Crash,1.0,3496,6,"BatchNorm2d,MaxPool2d,AvgPool2d,ReLU,ReLU,BatchNorm2d","[16, 35, 1024, 32]",running_mean should contain 35 elements not 56
fuzz_pt_32369986,Crash,1.0,6290,5,"Linear,Conv2d,Conv2d,BatchNorm2d,Conv2d","[64, 17, 128, 1024]",mat1 and mat2 shapes cannot be multiplied (139264x1024 and 43x264)
fuzz_pt_dae4f5ec,Crash,1.0,2510,4,"Flatten,Conv2d,MaxPool2d,Flatten","[16, 46, 16, 64]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 47104]"
fuzz_pt_1cebf86a,Crash,5.83,1806,4,"AvgPool2d,AvgPool2d,Flatten,AvgPool2d","[16, 33, 256, 256]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_5b729713,Crash,2.0,3849,6,"Conv2d,Flatten,ReLU,AvgPool2d,ReLU,Flatten","[1, 56, 32, 64]","Given groups=1, weight of size [37, 8, 3, 3], expected input[1, 56, 32, 64] to have 8 channels, but got 56 channels instead"
fuzz_pt_f96c2f04,Timeout,2097.42,4783,5,"AvgPool2d,AvgPool2d,ReLU,Flatten,ReLU","[16, 4, 32, 256]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_4be258de,Crash,1.0,2575,2,"BatchNorm2d,Conv2d","[1, 9, 128, 32]",running_mean should contain 9 elements not 54
fuzz_pt_e530a251,Crash,1.0,2993,4,"Flatten,MaxPool2d,AvgPool2d,BatchNorm2d","[16, 27, 16, 64]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_6f08068c,Crash,1.0,4347,6,"BatchNorm2d,BatchNorm2d,BatchNorm2d,Linear,ReLU,Linear","[64, 1, 16, 16]",running_mean should contain 1 elements not 25
fuzz_pt_08907fe4,Crash,1.67,2860,4,"Flatten,AvgPool2d,AvgPool2d,BatchNorm2d","[64, 24, 256, 256]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_82f9b081,Crash,1.0,4187,5,"Flatten,MaxPool2d,Linear,Conv2d,AvgPool2d","[64, 20, 256, 32]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_2e7694d7,Crash,1.0,4080,6,"MaxPool2d,Conv2d,BatchNorm2d,ReLU,ReLU,BatchNorm2d","[1, 2658]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_4a8f4527,Success,2.53,1934,1,MaxPool2d,"[128, 52, 32, 16]",None
fuzz_pt_6d0d2923,Crash,16.7,5708,5,"BatchNorm2d,BatchNorm2d,ReLU,Conv2d,AvgPool2d","[64, 30, 16, 1024]",running_mean should contain 30 elements not 38
fuzz_pt_fa14778a,Crash,1.0,4561,6,"BatchNorm2d,ReLU,MaxPool2d,Linear,Linear,MaxPool2d","[64, 2078]",expected 4D input (got 2D input)
fuzz_pt_325d4ec0,Crash,1.0,3564,3,"Conv2d,Linear,AvgPool2d","[16, 42, 64, 1024]","Given groups=1, weight of size [16, 27, 1, 1], expected input[16, 42, 64, 1024] to have 27 channels, but got 42 channels instead"
fuzz_pt_ea04cfad,Crash,1.0,3880,5,"MaxPool2d,Linear,Conv2d,Flatten,MaxPool2d","[4, 3, 32, 32]",mat1 and mat2 shapes cannot be multiplied (192x16 and 476x520)
fuzz_pt_41effe76,Success,1.0,2544,2,"MaxPool2d,AvgPool2d","[1, 4, 1024, 128]",None
fuzz_pt_22970742,Success,1.0,1933,1,Flatten,"[4, 9, 256, 32]",None
fuzz_pt_1f1efe9e,Success,1.0,2313,2,"Flatten,ReLU","[16, 41, 256, 32]",None
fuzz_pt_fef51205,Success,1395.55,2844,2,"MaxPool2d,ReLU","[64, 64, 256, 256]",None
fuzz_pt_a8087d99,Crash,2.08,2800,3,"MaxPool2d,AvgPool2d,Conv2d","[64, 2028]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_7f4d8405,Success,1.0,1752,1,Flatten,"[16, 60, 32, 128]",None
fuzz_pt_fea39ca0,Crash,1.0,2311,5,"AvgPool2d,ReLU,AvgPool2d,Flatten,Flatten","[1, 2741]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_3316bea8,Crash,1.0,2117,1,Conv2d,"[1, 1846]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 1846]"
fuzz_pt_62303a82,Crash,1.51,2960,3,"Linear,MaxPool2d,MaxPool2d","[4, 18, 16, 256]",mat1 and mat2 shapes cannot be multiplied (1152x256 and 213x58)
fuzz_pt_c7b3e327,Crash,1.0,5066,5,"ReLU,Flatten,BatchNorm2d,Linear,Linear","[16, 57, 16, 256]",expected 4D input (got 2D input)
fuzz_pt_a8c149a6,Crash,1.0,6004,6,"ReLU,Linear,Conv2d,Conv2d,Flatten,Conv2d","[1, 7, 1024, 64]",mat1 and mat2 shapes cannot be multiplied (7168x64 and 133x873)
fuzz_pt_32172d9c,Crash,1.0,5382,6,"Conv2d,BatchNorm2d,MaxPool2d,ReLU,MaxPool2d,ReLU","[256, 2351]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [256, 2351]"
fuzz_pt_a1154bc2,Crash,1.0,3132,3,"Conv2d,BatchNorm2d,AvgPool2d","[128, 19, 256, 32]","Given groups=1, weight of size [29, 31, 1, 1], expected input[128, 19, 256, 32] to have 31 channels, but got 19 channels instead"
fuzz_pt_c50ee3f0,Crash,1.0,2896,3,"Linear,Flatten,Conv2d","[64, 2481]",mat1 and mat2 shapes cannot be multiplied (64x2481 and 702x922)
fuzz_pt_cb89ed7c,Crash,1.0,3585,4,"Flatten,Linear,AvgPool2d,Linear","[256, 50000]",mat1 and mat2 shapes cannot be multiplied (256x50000 and 154x588)
fuzz_pt_859dc7c8,Crash,1.0,5822,4,"AvgPool2d,Conv2d,Linear,Conv2d","[16, 674]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_1b8af56d,Crash,2.01,4162,4,"ReLU,Conv2d,ReLU,BatchNorm2d","[256, 3127]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [256, 3127]"
fuzz_pt_e1c0bc03,Crash,1.0,2662,3,"AvgPool2d,Linear,AvgPool2d","[4, 5, 256, 1024]",mat1 and mat2 shapes cannot be multiplied (1700x341 and 917x42)
fuzz_pt_882852e9,Crash,10.03,4891,6,"ReLU,Linear,Conv2d,ReLU,Flatten,MaxPool2d","[16, 51, 1024, 64]",mat1 and mat2 shapes cannot be multiplied (835584x64 and 301x765)
fuzz_pt_1cb7a315,Crash,1.0,5993,5,"Linear,BatchNorm2d,Conv2d,ReLU,Flatten","[16, 14, 1024, 256]",mat1 and mat2 shapes cannot be multiplied (229376x256 and 815x252)
fuzz_pt_75a42819,Timeout,3235.54,1432,1,ReLU,"[16, 40, 32, 256]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_d6b1f905,Crash,1.0,4242,6,"MaxPool2d,AvgPool2d,Linear,AvgPool2d,MaxPool2d,Linear","[1, 20, 32, 64]",mat1 and mat2 shapes cannot be multiplied (160x16 and 109x508)
fuzz_pt_a33a7d6f,Crash,1.0,5156,6,"Conv2d,MaxPool2d,AvgPool2d,AvgPool2d,ReLU,ReLU","[64, 1859]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 1859]"
fuzz_pt_21478ceb,Crash,1.0,3974,6,"ReLU,ReLU,Conv2d,Linear,MaxPool2d,Conv2d","[1, 1733]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [1, 1733]"
fuzz_pt_93057c26,Crash,1.0,3786,6,"MaxPool2d,Linear,Flatten,BatchNorm2d,AvgPool2d,AvgPool2d","[4, 36, 16, 32]",mat1 and mat2 shapes cannot be multiplied (720x10 and 145x179)
fuzz_pt_38570b0f,Crash,1.0,1501,2,"Flatten,AvgPool2d","[256, 50000]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_8fdbc43e,Success,2.0,2811,4,"MaxPool2d,ReLU,MaxPool2d,ReLU","[1, 64, 1024, 32]",None
fuzz_pt_eaef3008,Crash,39.93,2797,5,"MaxPool2d,Flatten,Flatten,Flatten,BatchNorm2d","[128, 57, 128, 64]",expected 4D input (got 2D input)
fuzz_pt_12b45aec,Crash,1.0,1622,3,"BatchNorm2d,BatchNorm2d,BatchNorm2d","[16, 53, 32, 128]",running_mean should contain 53 elements not 46
fuzz_pt_84c9d00e,Crash,360.06,2124,2,"ReLU,BatchNorm2d","[64, 13, 1024, 1024]",running_mean should contain 13 elements not 28
fuzz_pt_334c90f2,Crash,1.0,1810,1,Conv2d,"[16, 4, 256, 32]","Given groups=1, weight of size [64, 15, 1, 1], expected input[16, 4, 256, 32] to have 15 channels, but got 4 channels instead"
fuzz_pt_3ecdffd4,Success,1.0,3026,3,"ReLU,MaxPool2d,ReLU","[4, 54, 16, 64]",None
fuzz_pt_1fad930d,Crash,1.0,4364,6,"ReLU,AvgPool2d,BatchNorm2d,Conv2d,AvgPool2d,MaxPool2d","[1, 1160]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_c6c50689,Crash,1.0,2693,4,"Conv2d,MaxPool2d,Conv2d,Flatten","[4, 60, 128, 128]","Given groups=1, weight of size [14, 51, 1, 1], expected input[4, 60, 128, 128] to have 51 channels, but got 60 channels instead"
fuzz_pt_e0db2ea9,Crash,1.0,3327,5,"BatchNorm2d,Linear,AvgPool2d,Flatten,MaxPool2d","[16, 46, 128, 64]",running_mean should contain 46 elements not 50
fuzz_pt_113391fa,Crash,1.0,1890,3,"BatchNorm2d,AvgPool2d,Flatten","[256, 50000]",expected 4D input (got 2D input)
fuzz_pt_5a4f3069,Success,1.0,2465,2,"ReLU,MaxPool2d","[1, 36, 16, 128]",None
fuzz_pt_0c08bd3f,Crash,1.0,1296,1,MaxPool2d,"[64, 1616]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_cdf07ba8,Crash,1.0,1411,1,AvgPool2d,"[256, 2775]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_6dd3492e,Crash,1.01,2027,2,"MaxPool2d,Linear","[16, 29, 32, 64]",mat1 and mat2 shapes cannot be multiplied (4640x21 and 526x900)
fuzz_pt_0e37574d,Crash,1.0,3111,3,"MaxPool2d,AvgPool2d,Linear","[16, 1803]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_054a64b4,Success,1.0,2331,2,"ReLU,ReLU","[256, 75]",None
fuzz_pt_4d52d950,Crash,4.31,1638,3,"ReLU,BatchNorm2d,BatchNorm2d","[4, 10, 256, 1024]",running_mean should contain 10 elements not 54
fuzz_pt_1d209204,Crash,1.0,2593,3,"Flatten,MaxPool2d,AvgPool2d","[16, 3172]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_e30fb6b9,Crash,1.0,2749,2,"Conv2d,Linear","[4, 54, 32, 128]","Given groups=1, weight of size [38, 40, 3, 3], expected input[4, 54, 32, 128] to have 40 channels, but got 54 channels instead"
fuzz_pt_e5654f3a,Crash,2.01,2688,5,"ReLU,ReLU,Linear,BatchNorm2d,ReLU","[128, 35, 32, 32]",mat1 and mat2 shapes cannot be multiplied (143360x32 and 246x292)
fuzz_pt_a1f9078b,Crash,114.41,2308,3,"ReLU,MaxPool2d,Conv2d","[64, 50, 128, 256]","Given groups=1, weight of size [11, 26, 3, 3], expected input[64, 50, 64, 128] to have 26 channels, but got 50 channels instead"
fuzz_pt_49bf6228,Crash,1.0,2249,1,Linear,"[64, 48, 1024, 32]",mat1 and mat2 shapes cannot be multiplied (3145728x32 and 359x251)
fuzz_pt_92e27bde,Crash,675.36,4668,4,"MaxPool2d,BatchNorm2d,Conv2d,Linear","[128, 63, 1024, 128]",running_mean should contain 63 elements not 61
fuzz_pt_4696e46d,Success,1289.78,3330,3,"MaxPool2d,ReLU,ReLU","[128, 28, 64, 256]",None
fuzz_pt_75d8b558,Crash,1.0,4138,5,"Flatten,AvgPool2d,Flatten,ReLU,Linear","[16, 21, 128, 128]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_21fc5646,Crash,1.0,2415,1,Conv2d,"[64, 1642]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 1642]"
fuzz_pt_00e55f29,Crash,1.0,2192,3,"ReLU,Linear,BatchNorm2d","[256, 993]",mat1 and mat2 shapes cannot be multiplied (256x993 and 346x285)
fuzz_pt_527125a4,Crash,1.0,3119,2,"Conv2d,BatchNorm2d","[256, 3142]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [256, 3142]"
fuzz_pt_e13cb8fa,Crash,1.0,1538,2,"AvgPool2d,BatchNorm2d","[4, 6, 64, 256]",running_mean should contain 6 elements not 8
fuzz_pt_b7e2ada5,Crash,1.0,1778,1,Linear,"[16, 35, 16, 16]",mat1 and mat2 shapes cannot be multiplied (8960x16 and 165x124)
fuzz_pt_2d6a2b9a,Crash,1.0,1518,1,Conv2d,"[4, 6, 1024, 64]","Given groups=1, weight of size [8, 41, 3, 3], expected input[4, 6, 1024, 64] to have 41 channels, but got 6 channels instead"
fuzz_pt_3a734b87,Crash,1.0,2231,3,"Flatten,AvgPool2d,BatchNorm2d","[16, 2405]","Dimension out of range (expected to be in range of [-2, 1], but got -3)"
fuzz_pt_b2696c5e,Success,4.52,3273,3,"MaxPool2d,AvgPool2d,MaxPool2d","[16, 58, 64, 64]",None
fuzz_pt_e0eec5e0,Crash,1.56,2433,2,"Linear,AvgPool2d","[1, 55, 128, 1024]",mat1 and mat2 shapes cannot be multiplied (7040x1024 and 175x86)
fuzz_pt_766b5036,Crash,1.0,2347,3,"Linear,Linear,Linear","[64, 3762]",mat1 and mat2 shapes cannot be multiplied (64x3762 and 655x827)
fuzz_pt_38ca1598,Crash,1.0,5481,6,"Linear,Flatten,MaxPool2d,Conv2d,Linear,Flatten","[64, 2581]",mat1 and mat2 shapes cannot be multiplied (64x2581 and 704x570)
fuzz_pt_36dc846a,Crash,1.0,2800,2,"BatchNorm2d,Linear","[4, 28, 32, 1024]",running_mean should contain 28 elements not 63
fuzz_pt_a0161301,Crash,1.0,1695,2,"Conv2d,BatchNorm2d","[1, 37, 16, 256]","Given groups=1, weight of size [45, 29, 5, 5], expected input[1, 37, 16, 256] to have 29 channels, but got 37 channels instead"
fuzz_pt_e45b20d2,Crash,1.0,2193,3,"Flatten,BatchNorm2d,Linear","[64, 2906]",expected 4D input (got 2D input)
fuzz_pt_8a9ec8dd,Crash,1.0,724,1,BatchNorm2d,"[64, 40, 1024, 16]",running_mean should contain 40 elements not 16
fuzz_pt_d9be4c64,Crash,1.61,2596,4,"ReLU,ReLU,BatchNorm2d,AvgPool2d","[16, 1535]",expected 4D input (got 2D input)
fuzz_pt_6633c323,Crash,1.0,7135,5,"Linear,Conv2d,AvgPool2d,MaxPool2d,Conv2d","[128, 23, 32, 32]",mat1 and mat2 shapes cannot be multiplied (94208x32 and 937x790)
fuzz_pt_7ad2a43a,Crash,1.0,2029,3,"BatchNorm2d,Flatten,Flatten","[64, 870]",expected 4D input (got 2D input)
fuzz_pt_16959019,Success,5.39,2010,2,"AvgPool2d,ReLU","[128, 25, 128, 32]",None
